"wipp_y","WGRCOR","WMICDFLG","WGRMICI","WGRMICH","WFBETCEL","WRGSSAT","WRBRNSAT","WASTWICK","SHPRMCLY","SHPRMCON","SHPRMSAP","SHPRMDRZ","SHPRNHAL","SHRGSSAT","SHRBRSAT","SHBCEXP","HALPOR","HALPRM","HALCOMP","ANHPRM","ANHCOMP","ANHBCVGP","ANRBRSAT","ANRGSSAT","ANHBCEXP","SALPRES","BPINTPRS","BPPRM","BPCOMP","BHPERM","BPMAP"
16253.086,2.3e-15,2,7.81e-09,4.714e-10,0.6023,0.001259,0.4607,0.9356,-17.96,-19.84,-20.35,-15.54,0.1668,0.0979,0.26,0.4861,0.01081,-23.4,1.514e-10,-18.88,7.67e-11,1,0.09324,0.01398,0.6133,12010000,14900000,-11.02,-10.82,-12.71,29
28352.666,6.45e-15,0,9.2e-09,8.844e-10,0.2903,0.1096,0.2286,0.4746,-18.18,-19.64,-19.58,-16.23,0.1596,0.3888,0.2406,0.9551,0.004985,-21.64,4.765e-11,-18.83,6.285e-11,1,0.08087,0.04879,0.6096,12270000,12340000,-11.98,-10.4,-12.04,32
28699.07,1.106e-14,1,7.863e-09,5.903e-10,0.2791,0.1166,0.442,0.6929,-18.23,-19.58,-18.72,-14.69,0.4195,0.2526,0.3225,0.6866,0.02148,-23.52,1.603e-10,-19.21,1.071e-10,1,0.1366,0.1072,0.6832,11310000,12380000,-13.26,-9.054,-13.15,9
42269.809,1.249e-14,0,7.367e-10,9.714e-10,0.7284,0.06413,0.1831,0.6383,-17.48,-18.97,-20.14,-14.78,0.3575,0.2727,0.1807,6.23,0.01941,-22.12,7.344e-11,-18.42,1.09e-11,1,0.06827,0.07723,0.6797,12960000,11910000,-12.42,-9.112,-13.2,21
50886.453,7.11e-15,0,1.656e-09,6.908e-10,0.3117,0.07166,0.09151,0.08241,-20.19,-18,-19.23,-16.66,0.5338,0.2706,0.4858,4.046,0.02417,-21.67,3.553e-11,-19.18,1.425e-10,4,0.08703,0.05233,0.709,11100000,12890000,-12.91,-9.171,-13.86,17
21527.883,9.14e-15,0,4.389e-09,6.401e-10,0.5607,0.1151,0.3899,0.9487,-18.46,-18.32,-20.01,-16.34,0.7245,0.2875,0.1529,0.1192,0.005869,-22.39,8.828e-11,-19.3,1.457e-10,4,0.1123,0.07564,0.656,13000000,11300000,-12.45,-9.714,-12.29,10
72399.297,4.76e-15,0,5.458e-09,1.125e-10,0.3226,0.0393,0.06708,0.6274,-17.6,-18.33,-20.29,-16.1,0.6629,0.2813,0.1242,0.6726,0.02923,-22.72,1.242e-10,-19.61,2.01e-10,4,0.06434,0.04548,0.6404,12570000,12560000,-11.26,-9.921,-11.12,14
20793.1,4.91e-15,0,5.584e-09,1.08e-09,0.5085,0.08188,0.4254,0.1544,-17.84,-19.42,-18.77,-15.38,0.226,0.06421,0.08617,6.193,0.001218,-21.85,6.165e-11,-19.4,1.308e-10,1,0.1256,0.08072,0.7547,13280000,11840000,-11.8,-9.778,-12.32,25
102375.67,1.557e-14,1,8.129e-09,1.2e-09,0.656,0.006144,0.1806,0.5396,-18.9,-18.74,-20.44,-15.31,0.1812,0.04299,0.1782,6.548,0.02889,-22.65,1.035e-10,-19.44,1.702e-10,4,0.1011,0.08845,0.6197,12230000,15570000,-13.09,-8.874,-11.54,16
13017.427,6.57e-15,0,6.15e-09,7.519e-11,0.5722,0.1363,0.3419,0.8526,-18.51,-19.29,-19.15,-15.29,0.8326,0.1361,0.1143,0.6585,0.009058,-22.88,1.207e-10,-19.1,1.093e-10,1,0.03109,0.07537,0.7863,11150000,12160000,-10.88,-10.01,-13.38,17
27566.008,1.45e-15,1,2.751e-09,4.117e-11,0.8893,0.1205,0.4939,0.2108,-18.12,-18.35,-19.71,-15.49,0.6091,0.2576,0.5705,0.5205,0.007804,-23.84,1.867e-10,-19.72,1.91e-10,4,0.138,0.09171,0.6127,13640000,13460000,-12.02,-9.753,-12.67,24
39110.66,1.233e-14,1,4.199e-09,1.784e-10,0.6985,0.07298,0.1463,0.7754,-17.98,-17.39,-20.05,-14.89,0.4515,0.1689,0.1911,0.2174,0.001774,-22.52,9.312e-11,-20.11,2.75e-10,1,0.05271,0.07997,0.5611,13540000,11480000,-12.66,-9.258,-12.07,28
81509.281,8e-16,0,8.468e-09,5.062e-10,0.4824,0.1301,0.3824,0.3892,-18.44,-18.84,-19.25,-15.78,0.2538,0.1004,0.2312,0.3639,0.001712,-23.32,1.541e-10,-19.33,1.382e-10,1,0.06205,0.1144,0.6876,12790000,13820000,-13.63,-8.783,-12.82,13
58845.652,1.207e-14,2,5.27e-09,1.214e-09,0.8424,0.02233,0.169,0.909,-19.1,-19.35,-18.83,-16.14,0.8103,0.02677,0.3737,0.1359,0.01702,-22.17,9.129e-11,-18.74,4.912e-11,1,0.07412,0.08922,0.7328,11480000,14100000,-12.85,-8.724,-12.22,7
22930.963,9.03e-15,2,6.627e-09,7.186e-10,0.03712,0.08592,0.418,0.01272,-19.61,-17.88,-20.69,-14.75,0.764,0.247,0.1984,1.587,0.007113,-21.57,3.152e-11,-20.28,2.418e-10,1,0.06536,0.1031,0.7141,13330000,12970000,-11.92,-10.47,-11.69,6
40963.77,6.13e-15,0,4.597e-09,1.231e-09,0.9962,0.1028,0.2714,0.6131,-19.12,-19.38,-19.14,-15.14,0.3022,0.08531,0.1479,0.8442,0.02453,-23.92,1.894e-10,-18.6,6.496e-11,1,0.04497,0.08424,0.6594,13700000,12750000,-12.61,-10.24,-12.84,15
34613.137,3.61e-15,2,7.17e-09,1.03e-09,0.496,0.0921,0.5143,0.2483,-18.21,-17.98,-19.42,-14.94,0.4432,0.2655,0.5424,0.2861,0.01145,-21.52,4.888e-11,-18.63,4.154e-11,4,0.01922,0.09669,0.5991,11610000,14430000,-10.39,-10.36,-11.92,10
12620.806,6.73e-15,1,1.11e-09,3.25e-10,0.47,0.00162,0.1081,0.1217,-18.92,-19.47,-19.94,-16.91,0.7109,0.3705,0.1392,6.989,0.008216,-21.17,7.978e-12,-18.79,6.866e-11,4,0.06786,0.1525,0.6278,12080000,12000000,-11.22,-10.72,-13.93,22
77681.898,7.42e-15,1,1.2e-09,4.12e-10,0.616,0.1069,0.2845,0.9507,-19.52,-17.73,-19.3,-16.02,0.5679,0.09099,0.5082,8.383,0.02341,-22.94,1.018e-10,-18.87,8.052e-11,4,0.06211,0.01398,0.6613,11380000,12920000,-12.68,-9.224,-11.08,12
9030.6064,1.16e-14,2,5.84e-09,9.92e-10,0.178,0.1254,0.4575,0.2532,-18.34,-19.53,-20.64,-14.97,0.5047,0.1757,0.031,3.317,0.006488,-21.6,6.152e-11,-17.94,1.09e-11,1,0.05082,0.04724,0.6769,11870000,13430000,-11.69,-8.892,-13.85,22
44809.938,1.52e-14,0,9.41e-09,8.05e-10,0.135,0.03353,0.1638,0.896,-18.61,-17.62,-19.02,-14.52,0.5989,0.279,0.3537,0.7036,0.02705,-22.54,9.878e-11,-19.16,1.18e-10,1,0.09205,0.1155,0.6058,11860000,13260000,-12.18,-10.85,-12.16,31
56765.98,2.9e-16,0,1.26e-09,9.78e-10,0.879,0.0362,0.4008,0.1453,-19.79,-17.65,-18.92,-15.32,0.5893,0.006904,0.4271,5.956,0.02838,-23.11,1.353e-10,-18.33,1.09e-11,1,0.1037,0.1177,0.6292,11570000,12490000,-12.16,-9.7,-13.18,7
139862.22,4e-16,0,7.45e-09,3.02e-10,0.159,0.1195,0.1576,0.06674,-19.23,-18.38,-20.39,-14.38,0.6176,0.03946,0.1342,1.202,0.0101,-23.16,1.41e-10,-17.12,1.09e-11,4,0.1017,0.07789,0.5205,13050000,11720000,-12.4,-10.2,-11.39,15
21644.004,1.38e-14,0,4.01e-09,8.49e-10,0.521,0.1472,0.008916,0.2774,-19.91,-19.46,-20.37,-16.29,0.6742,0.07058,0.46,0.1941,0.006359,-22.36,7.909e-11,-18.92,7.861e-11,4,0.08259,0.09575,0.7239,13830000,12620000,-12.53,-9.992,-12.96,8
107785.13,7.7e-16,0,3.77e-09,2.78e-10,0.285,0.01669,0.2006,0.5431,-18.43,-19.67,-18.19,-15.1,0.4869,0.1412,0.08192,3.539,0.01491,-21.21,1.732e-11,-18.47,3.962e-11,1,0.09494,0.01733,0.6745,13360000,14530000,-12.48,-9.303,-11.31,5
